receptor,ligand,seed,mode_rank,score_kcal_per_mol,pose_path
receptor_crystal,ZINC000583127796,2,2,-7.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed2.pdbqt
receptor_crystal,ZINC000583127796,2,3,-7.1,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed2.pdbqt
receptor_crystal,ZINC000583127796,2,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed2.pdbqt
receptor_crystal,ZINC000583127796,2,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed2.pdbqt
receptor_crystal,ZINC000583127796,2,6,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed2.pdbqt
receptor_crystal,ZINC000583127796,2,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed2.pdbqt
receptor_crystal,ZINC000583127796,2,8,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed2.pdbqt
receptor_crystal,ZINC000583127796,2,9,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed2.pdbqt
receptor_crystal,ZINC000583127796,3,1,-8.1,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed3.pdbqt
receptor_crystal,ZINC000583127796,3,2,-7.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed3.pdbqt
receptor_crystal,ZINC000583127796,3,3,-6.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed3.pdbqt
receptor_crystal,ZINC000583127796,3,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed3.pdbqt
receptor_crystal,ZINC000583127796,3,5,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed3.pdbqt
receptor_crystal,ZINC000583127796,3,6,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed3.pdbqt
receptor_crystal,ZINC000583127796,3,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed3.pdbqt
receptor_crystal,ZINC000583127796,3,8,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed3.pdbqt
receptor_crystal,ZINC000583127796,3,9,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed3.pdbqt
receptor_crystal,ZINC000583127796,4,1,-8.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed4.pdbqt
receptor_crystal,ZINC000583127796,4,2,-7.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed4.pdbqt
receptor_crystal,ZINC000583127796,4,3,-7.1,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed4.pdbqt
receptor_crystal,ZINC000583127796,4,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed4.pdbqt
receptor_crystal,ZINC000583127796,4,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed4.pdbqt
receptor_crystal,ZINC000583127796,4,6,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed4.pdbqt
receptor_crystal,ZINC000583127796,4,7,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed4.pdbqt
receptor_crystal,ZINC000583127796,4,8,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed4.pdbqt
receptor_crystal,ZINC000583127796,4,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed4.pdbqt
receptor_crystal,ZINC000583127796,5,1,-8.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed5.pdbqt
receptor_crystal,ZINC000583127796,5,2,-7.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed5.pdbqt
receptor_crystal,ZINC000583127796,5,3,-7.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed5.pdbqt
receptor_crystal,ZINC000583127796,5,4,-6.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed5.pdbqt
