lig_00049117,-6.2,-6.3,-0.09999999999999964
lig_00086365,-6.0,-6.1,-0.09999999999999964
lig_00041576,-5.4,-5.5,-0.09999999999999964
lig_00063925,-6.5,-6.6,-0.09999999999999964
lig_00043703,-6.7,-6.8,-0.09999999999999964
lig_00025093,-5.5,-5.6,-0.09999999999999964
lig_00049932,-5.5,-5.6,-0.09999999999999964
lig_00012644,-6.0,-6.1,-0.09999999999999964
lig_00035713,-5.2,-5.3,-0.09999999999999964
lig_00098161,-6.2,-6.3,-0.09999999999999964
lig_00051733,-6.9,-7.0,-0.09999999999999964
lig_00057945,-6.5,-6.6,-0.09999999999999964
lig_00043541,-6.4,-6.5,-0.09999999999999964
lig_00016753,-5.0,-5.1,-0.09999999999999964
lig_00096251,-5.9,-6.0,-0.09999999999999964
lig_00092668,-5.9,-6.0,-0.09999999999999964
lig_00017086,-5.9,-6.0,-0.09999999999999964
lig_00023133,-5.5,-5.6,-0.09999999999999964
lig_00023155,-5.9,-6.0,-0.09999999999999964
lig_00012669,-5.7,-5.8,-0.09999999999999964
lig_00012673,-5.4,-5.5,-0.09999999999999964
lig_00049070,-5.9,-6.0,-0.09999999999999964
lig_00025236,-5.7,-5.8,-0.09999999999999964
lig_00003703,-5.9,-6.0,-0.09999999999999964
lig_00064529,-6.5,-6.6,-0.09999999999999964
lig_00080214,-5.4,-5.5,-0.09999999999999964
lig_00064573,-5.7,-5.8,-0.09999999999999964
lig_00011337,-5.9,-6.0,-0.09999999999999964
lig_00080696,-6.5,-6.6,-0.09999999999999964
lig_00017161,-5.7,-5.8,-0.09999999999999964
lig_00048127,-5.7,-5.8,-0.09999999999999964
lig_00024320,-6.0,-6.1,-0.09999999999999964
lig_00079380,-6.4,-6.5,-0.09999999999999964
lig_00050193,-6.2,-6.3,-0.09999999999999964
lig_00010149,-6.2,-6.3,-0.09999999999999964
lig_00013097,-6.0,-6.1,-0.09999999999999964
lig_00079423,-6.2,-6.3,-0.09999999999999964
lig_00066915,-6.5,-6.6,-0.09999999999999964
lig_00024291,-5.7,-5.8,-0.09999999999999964
lig_00041089,-5.5,-5.6,-0.09999999999999964
lig_00014480,-5.9,-6.0,-0.09999999999999964
lig_00024777,-5.9,-6.0,-0.09999999999999964
lig_00014475,-6.0,-6.1,-0.09999999999999964
lig_00039059,-5.4,-5.5,-0.09999999999999964
lig_00081383,-5.7,-5.8,-0.09999999999999964
lig_00072611,-6.9,-7.0,-0.09999999999999964
lig_00089801,-6.2,-6.3,-0.09999999999999964
lig_00079382,-6.2,-6.3,-0.09999999999999964
lig_00092703,-5.9,-6.0,-0.09999999999999964
lig_00055751,-5.9,-6.0,-0.09999999999999964
lig_00051287,-7.4,-7.5,-0.09999999999999964
lig_00030091,-5.9,-6.0,-0.09999999999999964
lig_00023655,-6.9,-7.0,-0.09999999999999964
lig_00023710,-6.8,-6.8,0.0
lig_00025264,-5.6,-5.6,0.0
lig_00035794,-5.4,-5.4,0.0
