Tier,ZINC ID,Ligand ID,chunk,MW (Da),LogP,TPSA,BBB Penetration,QED,LD50 (mg/kg),ProTox Risk Band,SMILES
1A,ZINC001228784887_1,lig_00012045,28,417.403,3.1762,61.88,0.979431474,0.765948166,800,GREEN (advance),CCN1C[C@H](NC(=O)N2CCC(F)(c3ccccc3OC(F)(F)F)CC2)CC1=O
1A,ZINC000455401328_1,lig_00012046,28,359.47,2.0405,61.88,0.979094791,0.845473867,800,GREEN (advance),CCN1C[C@H](NC(=O)N2CCC(OCCc3ccccc3)CC2)CC1=O
1A,ZINC000554551801_1,lig_00048152,120,284.359,2.00678,64.33,0.879430258,0.903166722,800,GREEN (advance),N#Cc1cccc(CC(=O)N2CC[C@@H](O)C23CCCC3)c1
1A,ZINC000554489900_1,lig_00010277,120,298.386,2.39688,64.33,0.84172523,0.931621261,800,GREEN (advance),N#Cc1ccc(CCC(=O)N2CC[C@H](O)C23CCCC3)cc1
1A,ZINC001182785852_1,lig_00053795,82,300.402,2.67128,64.33,0.716402543,0.933085432,800,GREEN (advance),C[C@H](C(=O)N1CC(C)(C)C[C@]1(C)CO)c1ccc(C#N)cc1
1A,ZINC000583127796_1,lig_00094559,120,304.415,2.1448,63.4,0.910359609,0.910277165,780,GREEN (advance),NC(=O)c1ccc(C(=O)N2CCC[C@@]3(CCSC3)C2)cc1
1A,ZINC000849704238_1,lig_00003236,28,291.347,2.2932,66.84,0.880246317,0.864337323,750,GREEN (advance),CCN1CC[C@@H](OC(=O)c2ccc(C(C)C)cc2O)C1=O
1A,ZINC000584511510_1,lig_00008161,28,300.358,2.1024,62.55,0.975506818,0.919544675,750,GREEN (advance),CCN1C[C@@H](NC(=O)CCc2cc3ccccc3o2)CC1=O
1A,ZINC001248718246_1,lig_00004765,1,350.24,2.1151,68.42,0.69911508,0.900913855,722,GREEN (advance),Brc1cncc(-c2noc(C3CCC4(CC3)C[NH2+]C4)n2)c1
1A,ZINC000868134797_1,lig_00003023,28,323.396,2.0034,62.3,0.96265763,0.935983694,660,GREEN (advance),CCN1CC[C@@H](NC(=O)C2(c3ccnc4ccccc34)CC2)C1=O
1A,ZINC000868717016_1,lig_00008136,28,323.396,2.0034,62.3,0.973716831,0.935983694,660,GREEN (advance),CCN1C[C@@H](NC(=O)C2(c3ccnc4ccccc34)CC2)CC1=O
1A,ZINC001842805813_1,lig_00055190,82,370.371,2.6515,60.85,0.853559828,0.889944193,660,GREEN (advance),C[C@H](C(=O)N1CC2(CCCN2C(=O)CC(F)(F)F)C1)c1ccc(O)cc1
1A,ZINC000632924016_1,lig_00003495,28,323.396,2.0034,62.3,0.952592921,0.935983694,650,GREEN (advance),CCN1CC[C@H](NC(=O)C2(c3nccc4ccccc34)CC2)C1=O
1A,ZINC000633574115_1,lig_00010886,28,337.423,2.251,62.3,0.974703884,0.910142416,650,GREEN (advance),CCN1C[C@H](CNC(=O)C2(c3nccc4ccccc34)CC2)CC1=O
1A,ZINC000633318908_1,lig_00008137,28,323.396,2.0034,62.3,0.96676172,0.935983694,650,GREEN (advance),CCN1C[C@@H](NC(=O)C2(c3nccc4ccccc34)CC2)CC1=O
1A,ZINC000374286108_1,lig_00006811,82,335.835,2.3573,62.3,0.924152029,0.902076965,650,GREEN (advance),C[C@@]1(C(=O)N2CCC(c3ncccc3Cl)CC2)CCC(=O)NC1
1A,ZINC000527903467_1,lig_00039858,109,286.331,2.21982,62.55,0.770334089,0.937055746,620,GREEN (advance),Cc1cocc1C(=O)NCc1cccc(C(=O)N(C)C)c1
1A,ZINC001217741407_1,lig_00003086,1,407.332,2.5638,64.76,0.804513597,0.846432002,600,GREEN (advance),Brc1cccc(C2(Cc3nnc(C4CCOCC4)o3)CC[NH2+]CC2)c1
1A,ZINC000661273949_1,lig_00012062,28,357.454,2.1766,61.88,0.984787321,0.88242756,600,GREEN (advance),CCN1C[C@H](NC(=O)N2CCC3(CCc4ccccc4O3)CC2)CC1=O
